2019,2018,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
,,,,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,
1,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),United States,M,CO,VH,5,B,100,3,100,4,100,17,99.8,8,100,41,95.5,77,100
2,2,STANFORD UNIVERSITY,United States,L,FC,VH,5,B,100,5,100,5,100,16,99,13,99.8,56,70.5,190,98.6
3,3,HARVARD UNIVERSITY,United States,L,FC,VH,5,B,100,1,100,1,99.3,40,99.8,9,92.1,151,75.7,164,98.5
4,4,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,S,CO,VH,5,B,98.7,21,81.2,72,100,4,100,5,96.8,115,90.3,103,97.2
5,6,UNIVERSITY OF OXFORD,United Kingdom,L,FC,VH,5,A,100,4,100,3,100,7,83,56,99.6,63,98.8,43,96.8
6,5,UNIVERSITY OF CAMBRIDGE,United Kingdom,L,FC,VH,5,A,100,2,100,2,100,11,77.2,71,99.4,71,97.9,53,95.6
7,10,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,L,CO,VH,5,A,98.2,23,96.2,27,82.4,131,98.7,15,100,18,98.6,49,95.3
8,8,IMPERIAL COLLEGE LONDON,United Kingdom,L,FC,VH,5,A,98.7,19,99.9,7,99.9,23,67.8,112,100,44,100,13,93.3
9,9,UNIVERSITY OF CHICAGO,United States,L,FC,VH,5,B,99.6,13,90.7,47,97.4,48,83.6,54,74.2,229,82.5,136,93.2
10,7,UCL (UNIVERSITY COLLEGE LONDON),United Kingdom,XL,FC,VH,5,A,99.3,14,99.2,16,99.2,41,66.2,121,98.7,82,100,16,92.9
